gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CLV,AvgMonthlyCharges,ServiceCount,TenureGroup,ChargeGroup,Churn
1,0,0,0,70,0,1,0,2,0,2,2,0,2,2,0,0,48.4,3442.8,3388.0,48.49014084507043,9,3,1,0
0,0,1,0,30,1,0,0,0,2,2,2,0,2,1,0,0,70.25,2198.9,2107.5,70.93225806451613,9,2,2,0
0,1,1,0,48,1,0,1,0,0,0,0,0,0,0,1,0,70.65,3545.05,3391.2000000000003,72.34795918367347,2,2,2,0
0,0,1,1,34,0,1,0,2,0,2,2,2,2,1,0,3,61.25,1993.2,2082.5,56.94857142857143,11,2,1,0
1,0,0,0,1,1,2,1,0,2,0,0,0,0,0,1,2,79.15,79.15,79.15,39.575,6,0,2,1
1,0,0,0,68,1,2,1,2,2,2,0,2,0,1,0,0,101.35,7110.75,6891.799999999999,103.05434782608695,12,3,3,0
0,0,1,1,67,1,0,0,0,2,0,0,0,0,1,0,1,50.55,3431.75,3386.85,50.466911764705884,3,3,1,0
1,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,0,19.3,1414.8,1389.6000000000001,19.38082191780822,9,3,0,0
1,0,1,1,39,1,0,0,2,0,2,2,2,2,1,0,1,80.0,3182.95,3120.0,79.57374999999999,11,2,2,1
1,0,1,0,56,1,0,2,1,1,1,1,1,1,1,0,1,19.95,1126.75,1117.2,19.767543859649123,9,3,0,0
1,1,1,0,33,1,2,1,2,0,2,2,2,2,0,1,0,109.9,3694.7,3626.7000000000003,108.66764705882352,14,2,3,0
1,1,1,0,23,1,0,1,2,2,0,0,0,2,0,1,2,90.0,2024.1,2070.0,84.33749999999999,8,1,2,0
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,19.95,19.95,19.95,9.975,9,0,0,0
0,0,1,0,2,1,0,1,2,0,0,2,0,0,0,1,2,80.15,194.55,160.3,64.85000000000001,6,0,2,0
1,0,1,1,8,1,0,2,1,1,1,1,1,1,0,0,1,19.65,169.75,157.2,18.86111111111111,9,0,0,0
1,1,0,0,39,1,2,1,0,0,0,0,2,2,0,1,0,95.65,3759.05,3730.3500000000004,93.97625000000001,8,2,3,1
1,0,0,0,12,1,0,1,0,0,2,0,2,2,1,0,2,95.7,1184.0,1148.4,91.07692307692308,8,0,3,0
0,0,1,1,15,1,0,2,1,1,1,1,1,1,1,0,1,20.35,335.95,305.25,20.996875,9,1,0,0
0,0,1,1,72,0,1,0,0,2,2,2,2,2,2,1,2,60.0,4264.0,4320.0,58.41095890410959,11,3,1,0
1,0,1,1,46,1,2,1,0,2,0,0,0,0,0,1,0,80.0,3769.7,3680.0,80.2063829787234,6,2,2,0
1,0,1,1,23,1,0,1,2,0,0,2,2,2,0,1,2,99.85,2331.3,2296.5499999999997,97.1375,10,1,3,1
1,0,1,1,30,1,2,0,2,2,2,2,0,0,0,0,2,67.6,2000.2,2027.9999999999998,64.5225806451613,11,2,2,0
0,0,1,0,62,1,0,0,2,2,2,0,2,0,2,1,1,72.0,4284.2,4464.0,68.0031746031746,9,3,2,0
1,0,0,0,57,1,0,2,1,1,1,1,1,1,2,0,1,20.55,1252.85,1171.3500000000001,21.600862068965515,9,3,0,0
1,0,1,0,57,1,0,0,2,0,0,2,0,0,0,0,2,55.7,3171.6,3174.9,54.682758620689654,5,3,1,0
1,0,0,0,28,1,0,1,0,2,0,2,2,0,1,1,0,91.25,2483.65,2555.0,85.64310344827587,8,2,2,0
0,0,1,1,26,1,0,1,2,2,0,0,0,0,0,0,2,81.95,2070.05,2130.7000000000003,76.66851851851852,6,2,2,0
1,0,1,1,37,1,2,1,0,2,2,0,2,0,0,1,2,92.95,3415.25,3439.15,89.875,10,2,2,0
0,0,1,1,68,1,2,1,2,0,2,2,2,2,2,0,1,111.75,7511.3,7599.0,108.85942028985508,14,3,3,0
1,0,0,0,26,1,0,0,0,0,0,2,2,0,1,0,1,59.45,1507.0,1545.7,55.81481481481482,5,2,1,0
1,0,0,0,2,1,2,1,2,0,0,0,0,2,0,0,3,90.75,174.75,181.5,58.25,8,0,2,0
0,1,1,0,71,1,0,1,0,2,2,0,2,2,2,1,2,99.2,7213.75,7043.2,100.19097222222223,10,3,3,0
0,0,1,1,26,1,2,0,0,2,0,2,0,0,0,1,2,60.05,1616.15,1561.3,59.85740740740741,7,2,1,1
0,0,0,0,32,1,2,1,0,2,2,0,2,2,1,1,1,104.05,3416.85,3329.6,103.54090909090908,12,2,3,0
1,0,1,1,39,1,0,0,2,2,2,0,0,0,1,0,2,59.8,2343.85,2332.2,58.59625,7,2,1,0
1,0,1,1,16,1,0,2,1,1,1,1,1,1,2,0,3,20.5,290.55,328.0,17.091176470588238,9,1,0,0
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,181.65,191.0,60.550000000000004,8,0,3,0
1,0,0,0,33,1,0,1,0,2,0,2,0,0,2,0,0,80.6,2651.1,2659.7999999999997,77.9735294117647,6,2,2,0
0,0,1,0,11,1,2,1,0,0,2,0,2,2,0,1,2,99.5,1056.95,1094.5,88.07916666666667,10,0,3,1
1,0,0,0,66,1,0,2,1,1,1,1,1,1,2,0,0,19.7,1253.8,1300.2,18.713432835820896,9,3,0,0
0,0,0,0,50,1,2,0,2,0,2,2,2,2,1,1,1,82.5,4179.1,4125.0,81.94313725490197,13,3,2,0
0,0,0,0,13,0,1,0,0,0,0,0,0,2,0,1,2,35.1,446.1,456.3,31.864285714285717,3,1,1,1
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,1099.6,1141.65,18.326666666666664,9,3,0,1
0,0,1,0,68,1,2,1,0,2,2,2,0,0,2,0,1,90.2,6297.65,6133.6,91.27028985507246,10,3,2,0
0,0,0,1,35,1,0,2,1,1,1,1,1,1,1,1,1,20.1,644.5,703.5,17.90277777777778,9,2,0,0
0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,81.15,952.3,1054.95,68.02142857142857,6,1,2,1
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,7251.7,7192.8,99.33835616438355,12,3,3,0
1,1,1,1,26,1,2,1,0,2,2,0,2,2,0,0,2,105.75,2710.25,2749.5,100.37962962962963,12,2,3,1
0,0,1,1,2,1,0,0,0,0,0,0,2,2,0,0,3,65.7,134.35,131.4,44.78333333333333,5,0,2,1
0,0,0,0,1,1,2,1,0,0,2,0,0,0,0,1,3,79.55,79.55,79.55,39.775,6,0,2,1
1,0,0,0,18,1,0,0,2,0,2,2,2,0,0,1,2,68.35,1299.8,1230.3,68.41052631578947,9,1,2,0
1,0,1,0,72,1,2,1,2,2,2,2,0,2,2,0,0,105.6,7581.5,7603.2,103.85616438356165,14,3,3,0
0,0,1,0,53,1,2,0,2,2,2,0,0,2,1,0,0,74.1,3833.95,3927.2999999999997,70.99907407407407,11,3,2,0
0,0,1,0,55,1,2,0,2,2,2,2,2,2,1,1,2,90.15,4916.95,4958.25,87.80267857142857,15,3,2,0
0,1,0,0,55,1,2,1,0,0,2,0,2,2,1,1,2,100.0,5509.3,5500.0,98.38035714285715,10,3,3,1
1,0,1,0,69,1,2,1,0,2,0,2,2,0,2,1,3,92.45,6460.55,6379.05,92.29357142857143,10,3,2,0
1,1,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,94.0,94.0,94.0,47.0,8,0,2,1
0,0,0,0,58,1,2,0,2,2,2,2,0,0,1,1,1,71.1,4299.2,4123.799999999999,72.86779661016949,11,3,2,0
0,0,0,0,56,1,2,1,0,2,0,2,2,2,0,1,0,105.45,5916.95,5905.2,103.80614035087719,12,3,3,0
0,0,1,1,51,1,2,1,2,0,0,2,2,0,1,1,3,95.15,5000.05,4852.650000000001,96.1548076923077,10,3,3,0
0,0,0,0,18,1,0,2,1,1,1,1,1,1,0,1,3,19.55,389.25,351.90000000000003,20.486842105263158,9,1,0,0
0,0,1,1,52,1,0,0,0,0,2,0,0,0,1,1,0,50.95,2610.65,2649.4,49.257547169811325,3,3,1,0
1,1,1,0,30,1,0,0,0,2,0,0,0,0,0,1,0,50.4,1527.5,1512.0,49.274193548387096,3,2,1,1
0,1,0,0,35,1,2,1,2,0,0,0,2,2,0,1,2,99.05,3554.6,3466.75,98.73888888888888,10,2,3,0
1,0,1,1,46,1,2,2,1,1,1,1,1,1,1,0,2,24.9,1174.8,1145.3999999999999,24.995744680851065,11,2,0,0
0,0,1,1,12,0,1,0,0,2,0,0,0,0,0,0,3,29.2,309.1,350.4,23.77692307692308,3,0,0,1
1,0,1,0,61,1,2,0,2,0,2,0,0,2,2,1,3,69.9,4226.7,4263.900000000001,68.17258064516129,9,3,2,0
0,0,1,0,72,0,1,0,0,2,2,0,2,2,2,1,2,54.2,3937.45,3902.4,53.93767123287671,9,3,1,1
0,0,1,0,72,1,2,1,0,2,2,0,2,2,1,1,2,101.35,7323.15,7297.2,100.31712328767122,12,3,3,0
1,0,0,0,18,1,0,2,1,1,1,1,1,1,1,0,3,19.65,411.25,353.7,21.644736842105264,9,1,0,0
0,0,0,0,9,1,2,1,0,0,0,0,0,2,0,1,2,83.3,803.3,749.6999999999999,80.33,6,0,2,1
1,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.7,19.7,19.7,9.85,9,0,0,0
0,0,1,0,69,1,2,1,0,2,2,0,0,0,0,1,0,85.4,5869.4,5892.6,83.84857142857142,8,3,2,0
1,0,1,1,40,0,1,0,0,2,2,2,2,2,1,0,3,60.3,2448.5,2412.0,59.71951219512195,11,2,1,0
1,1,1,0,41,1,0,1,0,2,0,0,2,2,0,1,2,94.55,3851.45,3876.5499999999997,91.70119047619048,8,2,2,0
0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,7303.05,7498.8,100.04178082191781,12,3,3,0
0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,4327.5,4359.599999999999,100.63953488372093,12,2,3,0
1,0,0,0,1,1,2,1,0,0,2,0,2,2,0,1,2,101.45,101.45,101.45,50.725,10,0,3,1
0,0,0,0,52,1,2,1,0,2,0,0,0,0,1,1,3,80.2,4297.6,4170.400000000001,81.0867924528302,6,3,2,0
1,1,0,0,52,1,2,1,0,0,0,0,0,0,0,1,0,72.95,3829.75,3793.4,72.25943396226415,4,3,2,0
0,0,0,0,9,0,1,0,2,0,2,2,2,2,0,0,3,58.5,539.85,526.5,53.985,11,0,1,1
0,0,1,0,63,1,2,1,0,2,0,0,0,0,0,1,0,81.55,5029.05,5137.65,78.57890625,6,3,2,0
0,1,0,0,20,1,2,0,0,0,0,0,0,2,0,1,3,61.6,1174.35,1232.0,55.921428571428564,5,1,1,1
1,1,1,0,12,1,2,1,0,2,0,0,2,2,0,1,2,101.35,1218.55,1216.1999999999998,93.73461538461538,10,0,3,1
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,24.4,1725.4,1732.3999999999999,23.96388888888889,11,3,0,0
0,0,0,0,14,1,0,0,0,2,0,0,0,0,1,0,1,51.45,727.85,720.3000000000001,48.52333333333333,3,1,1,0
1,0,0,0,1,1,2,0,0,2,0,2,0,0,0,0,3,60.1,60.1,60.1,30.05,7,0,1,1
0,1,1,0,65,1,2,1,2,2,2,0,2,2,0,1,1,109.4,7227.45,7111.0,109.50681818181818,14,3,3,0
0,1,0,0,23,1,2,1,0,0,2,0,0,0,0,1,3,79.35,1835.3,1825.05,76.47083333333333,6,1,2,0
0,0,0,0,15,1,0,1,0,0,2,0,2,2,0,1,1,94.0,1505.45,1410.0,94.090625,8,1,2,0
1,0,0,0,4,1,0,2,1,1,1,1,1,1,1,0,3,19.7,117.8,78.8,23.56,9,0,0,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,69.4,69.4,69.4,34.7,2,0,2,1
1,0,1,1,57,1,0,2,1,1,1,1,1,1,2,0,3,20.75,1123.15,1182.75,19.364655172413794,9,3,0,0
1,0,0,0,15,1,2,1,2,0,0,0,2,0,0,1,0,87.75,1242.2,1316.25,77.6375,8,1,2,0
1,0,1,1,56,1,2,2,1,1,1,1,1,1,1,1,3,24.45,1431.65,1369.2,25.116666666666667,11,3,0,0
1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.2,237.95,280.8,47.589999999999996,2,0,2,1
1,0,0,0,5,1,2,1,0,0,0,0,0,0,0,1,0,75.9,357.75,379.5,59.625,4,0,2,1
1,0,0,0,6,1,0,1,0,2,0,0,2,0,0,1,2,84.85,523.5,509.09999999999997,74.78571428571429,6,0,2,1
1,0,1,1,32,1,0,1,0,0,0,0,0,0,0,1,0,69.75,2347.9,2232.0,71.14848484848486,2,2,2,1
1,0,1,0,56,1,0,1,0,0,0,0,2,2,0,0,3,89.7,4952.95,5023.2,86.8938596491228,6,3,2,0
1,0,1,0,36,1,2,1,0,0,0,0,2,2,0,1,2,95.4,3474.2,3434.4,93.89729729729729,8,2,3,0
0,0,0,0,63,1,2,1,0,2,2,2,2,2,0,1,1,109.85,7002.95,6920.549999999999,109.42109375,14,3,3,0
1,0,1,1,61,1,0,0,2,2,2,2,0,0,2,1,0,68.05,4158.25,4151.05,67.06854838709677,9,3,2,0
0,0,0,0,35,0,1,0,0,0,2,2,0,0,0,1,3,33.45,1175.85,1170.75,32.662499999999994,5,2,0,0
0,0,0,0,54,0,1,0,2,0,0,2,0,2,1,0,0,44.1,2369.7,2381.4,43.08545454545454,7,3,1,0
1,1,1,0,34,1,0,1,0,0,2,0,2,0,0,1,1,85.2,2874.45,2896.8,82.12714285714286,6,2,2,0
0,0,1,0,41,0,1,0,0,2,0,2,0,0,1,0,3,35.45,1391.65,1453.45,33.13452380952381,5,2,1,0
1,0,1,0,68,0,1,0,2,0,2,0,2,2,2,1,0,54.1,3794.5,3678.8,54.992753623188406,9,3,1,0
1,0,1,1,71,1,2,1,0,2,0,2,0,0,2,1,2,84.8,6152.4,6020.8,85.44999999999999,8,3,2,0
1,0,1,1,4,1,2,2,1,1,1,1,1,1,1,0,1,24.1,73.1,96.4,14.62,11,0,0,0
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,2,45.55,402.6,455.5,36.6,1,0,1,1
0,0,1,0,70,1,2,0,2,2,2,2,2,2,2,1,1,94.8,6859.05,6636.0,96.60633802816902,15,3,2,0
1,1,0,0,62,1,2,1,0,2,2,2,2,2,1,1,0,110.75,7053.35,6866.5,111.95793650793651,14,3,3,0
1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,1,3,74.3,74.3,74.3,37.15,4,0,2,0
0,0,1,1,70,1,2,0,2,0,0,2,2,2,2,1,0,80.6,5460.2,5642.0,76.90422535211268,11,3,2,0
1,0,1,1,63,1,2,2,1,1,1,1,1,1,2,0,3,25.25,1573.05,1590.75,24.57890625,11,3,0,0
1,0,0,1,72,0,1,0,2,2,2,2,2,2,2,0,1,67.2,4671.7,4838.400000000001,63.9958904109589,13,3,2,0
1,0,1,0,70,1,2,2,1,1,1,1,1,1,2,0,0,25.15,1940.85,1760.5,27.335915492957746,11,3,0,0
0,0,1,0,42,1,0,2,1,1,1,1,1,1,0,0,1,20.35,869.9,854.7,20.230232558139534,9,2,0,0
1,0,0,0,9,1,0,2,1,1,1,1,1,1,0,0,3,20.4,181.8,183.6,18.18,9,0,0,0
0,0,1,1,72,1,2,2,1,1,1,1,1,1,1,1,0,23.3,1623.15,1677.6000000000001,22.234931506849318,11,3,0,0
1,0,1,1,24,1,0,0,2,0,2,0,0,0,1,1,1,56.25,1454.25,1350.0,58.17,5,1,1,0
0,0,1,1,60,1,0,0,0,2,2,2,2,2,2,1,0,80.6,4946.7,4836.0,81.09344262295082,11,3,2,0
1,0,0,0,7,1,0,0,2,0,0,0,0,0,0,1,3,51.0,354.05,357.0,44.25625,3,0,1,1
0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1559.25,1580.25,97.453125,12,1,3,0
1,1,1,0,40,1,0,1,2,2,2,2,2,0,1,1,1,98.15,4116.8,3926.0,100.40975609756099,12,2,3,0
1,0,1,0,17,1,2,1,0,2,0,0,0,0,0,1,0,80.5,1336.9,1368.5,74.27222222222223,6,1,2,0
1,0,1,1,52,0,1,0,2,0,2,0,0,2,1,0,0,44.25,2276.1,2301.0,42.945283018867926,7,3,1,0
0,0,0,1,21,1,0,2,1,1,1,1,1,1,0,0,3,20.75,452.2,435.75,20.554545454545455,9,1,0,0
1,0,1,1,42,1,0,2,1,1,1,1,1,1,1,0,3,20.25,854.9,850.5,19.88139534883721,9,2,0,0
0,0,1,0,72,1,2,1,2,2,2,2,2,2,2,0,2,115.15,8349.7,8290.800000000001,114.37945205479453,16,3,3,0
0,0,0,0,2,1,0,1,2,0,2,0,0,0,0,1,2,80.45,137.1,160.9,45.699999999999996,6,0,2,0
1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,19.75,78.3,79.0,15.66,9,0,0,0
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.55,70.55,70.55,35.275,2,0,2,1
0,0,1,1,51,1,2,1,0,0,0,2,0,0,0,1,2,80.75,4116.9,4118.25,79.17115384615384,6,3,2,0
1,1,0,0,67,1,2,2,1,1,1,1,1,1,2,0,1,25.1,1672.15,1681.7,24.59044117647059,11,3,0,0
1,0,0,0,40,1,2,1,0,2,2,0,2,2,0,1,3,102.65,4108.15,4106.0,100.19878048780487,12,2,3,0
0,0,1,1,72,1,2,0,2,0,2,2,2,2,2,1,1,85.9,6110.75,6184.8,83.70890410958904,13,3,2,0
0,0,1,0,49,1,2,1,2,0,0,0,2,2,0,1,3,100.85,4847.35,4941.65,96.947,10,3,3,0
1,0,0,0,64,1,2,1,0,0,2,2,2,2,1,1,1,104.65,6889.8,6697.6,105.99692307692308,12,3,3,0
1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,3,50.6,50.6,50.6,25.3,3,0,1,1
1,0,1,1,50,1,2,1,2,0,2,0,2,2,0,0,1,105.95,5341.8,5297.5,104.74117647058824,12,3,3,1
1,0,0,0,57,1,0,2,1,1,1,1,1,1,2,0,3,20.75,1118.8,1182.75,19.28965517241379,9,3,0,0
0,1,0,0,3,1,2,1,0,2,0,0,0,0,0,1,2,79.4,205.05,238.20000000000002,51.2625,6,0,2,1
1,0,1,1,68,1,2,1,2,2,2,0,2,2,2,1,2,110.2,7467.5,7493.6,108.22463768115942,14,3,3,0
0,0,0,0,54,1,2,1,2,0,2,0,2,2,1,1,0,103.95,5639.05,5613.3,102.52818181818182,12,3,3,1
1,0,1,1,64,1,0,0,2,0,2,2,2,0,2,0,3,69.25,4447.75,4432.0,68.42692307692307,9,3,2,0
0,0,1,1,43,1,0,0,2,0,2,0,2,2,2,0,0,75.2,3254.35,3233.6,73.96249999999999,9,2,2,0
1,1,1,0,69,1,2,1,0,2,2,2,2,2,2,1,2,109.95,7634.25,7586.55,109.06071428571428,14,3,3,0
1,0,1,1,58,1,2,1,0,0,0,0,2,0,2,0,0,82.5,4828.05,4785.0,81.8313559322034,6,3,2,0
1,0,1,1,37,1,0,0,2,0,2,2,0,0,1,1,3,58.75,2203.1,2173.75,57.97631578947368,7,2,1,0
1,0,0,0,5,1,0,1,0,2,0,0,0,0,0,1,2,74.65,383.65,373.25,63.94166666666666,4,0,2,0
0,0,0,0,16,1,0,2,1,1,1,1,1,1,1,0,3,20.1,296.15,321.6,17.420588235294115,9,1,0,0
0,0,1,0,20,1,0,2,1,1,1,1,1,1,1,1,3,20.0,416.45,400.0,19.83095238095238,9,1,0,0
0,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,2,19.9,57.4,39.8,19.133333333333333,9,0,0,0
0,0,0,0,60,1,2,1,0,2,2,0,2,2,0,1,2,105.9,6396.45,6354.0,104.85983606557377,12,3,3,1
1,0,0,0,63,1,0,2,1,1,1,1,1,1,1,0,3,20.5,1328.15,1291.5,20.75234375,9,3,0,0
0,0,1,0,72,1,2,1,2,2,2,2,2,0,2,1,0,103.95,7556.9,7484.400000000001,103.51917808219177,14,3,3,0
0,0,1,0,8,1,0,2,1,1,1,1,1,1,0,0,0,20.15,156.25,161.2,17.36111111111111,9,0,0,1
1,0,1,0,72,1,2,1,2,2,2,2,2,2,2,1,0,115.8,8424.9,8337.6,115.40958904109588,16,3,3,0
1,0,0,1,66,1,2,2,1,1,1,1,1,1,2,1,1,25.3,1673.8,1669.8,24.982089552238804,11,3,0,0
1,0,0,0,38,1,0,0,0,0,2,2,0,2,1,1,3,62.3,2354.8,2367.4,60.379487179487185,7,2,1,1
1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,1,3,19.65,67.55,78.6,13.51,9,0,0,0
0,1,1,0,50,1,2,1,2,2,2,0,2,2,0,0,0,108.75,5431.9,5437.5,106.5078431372549,14,3,3,0
0,0,0,0,7,1,0,0,0,0,2,2,0,2,0,0,0,62.8,418.3,439.59999999999997,52.2875,7,0,1,0
1,0,1,0,18,1,2,1,0,0,0,0,2,2,0,1,2,94.75,1691.9,1705.5,89.04736842105264,8,1,2,0
1,0,1,1,25,1,0,2,1,1,1,1,1,1,0,1,3,19.15,477.6,478.74999999999994,18.36923076923077,9,2,0,0
0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,1,1,34.8,113.95,104.39999999999999,28.4875,3,0,0,0
1,0,0,0,18,1,2,1,0,0,0,0,2,0,0,0,0,84.3,1537.9,1517.3999999999999,80.9421052631579,6,1,2,0
0,1,1,1,46,1,2,1,2,2,0,2,2,2,0,1,2,110.2,4972.1,5069.2,105.78936170212766,14,2,3,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.4,44.4,44.4,22.2,1,0,1,1
0,0,1,0,37,1,2,0,0,2,0,2,0,2,1,0,3,72.1,2658.4,2667.7,69.9578947368421,9,2,2,0
1,0,1,0,57,1,0,0,2,2,0,2,0,0,2,1,2,59.75,3450.15,3405.75,59.48534482758621,7,3,1,0
1,0,0,0,66,1,2,1,2,2,2,2,2,2,1,1,0,114.3,7383.7,7543.8,110.20447761194029,16,3,3,0
1,0,1,0,51,1,2,1,2,2,0,0,0,2,1,1,1,96.4,4911.05,4916.400000000001,94.44326923076923,10,3,3,0
0,0,0,0,6,1,0,1,0,0,2,2,0,2,0,1,2,89.25,487.05,535.5,69.57857142857144,8,0,2,0
1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,2,44.5,90.05,89.0,30.016666666666666,1,0,1,0
1,0,1,1,23,1,0,0,2,0,0,2,0,0,1,0,1,57.2,1423.35,1315.6000000000001,59.30625,5,1,1,0
0,0,1,0,21,1,0,1,0,0,2,2,0,0,1,0,2,79.2,1742.45,1663.2,79.20227272727273,6,1,2,0
0,0,1,0,5,1,2,0,0,0,2,2,2,0,0,0,0,67.95,350.3,339.75,58.38333333333333,9,0,2,1
0,0,0,0,54,1,2,1,0,0,0,2,2,2,0,1,2,100.1,5440.9,5405.4,98.92545454545454,10,3,3,1
1,0,1,1,67,1,2,2,1,1,1,1,1,1,2,0,0,24.65,1620.45,1651.55,23.83014705882353,11,3,0,0
0,1,1,0,72,1,2,1,0,2,2,0,2,2,1,1,1,105.75,7629.85,7614.0,104.51849315068493,12,3,3,0
0,1,1,0,44,1,0,1,2,2,0,2,0,0,0,1,2,85.15,3670.5,3746.6000000000004,81.56666666666666,8,2,2,0
1,0,1,0,31,1,0,0,0,0,2,2,0,2,0,1,1,66.4,2019.8,2058.4,63.11875,7,2,2,0
1,1,1,0,35,1,2,1,2,2,0,0,0,2,0,1,2,94.55,3365.4,3309.25,93.48333333333333,10,2,2,0
1,0,0,0,40,1,0,0,2,0,2,0,0,2,0,0,2,67.45,2731.0,2698.0,66.60975609756098,7,2,2,0
0,0,1,0,72,1,0,2,1,1,1,1,1,1,2,0,0,20.05,1423.65,1443.6000000000001,19.50205479452055,9,3,0,0
0,0,1,1,3,0,1,0,2,0,0,0,0,0,0,0,1,29.7,91.7,89.1,22.925,3,0,0,1
1,0,0,0,3,1,0,1,0,0,0,0,2,0,0,0,2,79.25,267.6,237.75,66.9,4,0,2,1
0,0,0,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.25,3527.6,3508.75,97.98888888888888,10,2,3,1
0,0,1,1,72,1,2,0,2,0,2,2,2,2,2,1,0,83.3,6042.7,5997.599999999999,82.77671232876712,13,3,2,0
0,1,1,0,67,1,2,1,2,2,2,2,0,2,1,1,1,105.4,7035.6,7061.8,103.46470588235294,14,3,3,0
1,0,1,1,42,1,0,0,2,2,0,0,0,0,0,0,3,54.5,2301.15,2289.0,53.51511627906977,5,2,1,0
1,0,0,0,39,1,0,0,0,0,0,2,0,0,2,1,0,49.8,1971.15,1942.1999999999998,49.27875,3,2,1,0
0,0,1,1,8,1,0,0,0,2,0,2,0,0,0,0,0,56.3,401.5,450.4,44.611111111111114,5,0,1,0
1,0,0,0,3,1,0,1,0,0,2,0,0,2,0,0,1,85.7,256.75,257.1,64.1875,6,0,2,0
1,1,1,0,45,1,2,0,2,0,2,2,0,2,2,0,1,75.15,3480.35,3381.7500000000005,75.65978260869565,11,2,2,0
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,87.1,6230.1,6271.2,85.34383561643835,15,3,2,0
1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3,4057.0499999999997,89.12045454545455,8,2,2,0
1,1,1,0,24,1,2,1,2,0,0,0,0,0,0,1,2,78.85,1772.25,1892.3999999999999,70.89,6,1,2,1
1,0,1,0,65,1,2,1,2,0,2,0,2,2,0,1,2,104.25,6812.95,6776.25,103.22651515151514,12,3,3,0
1,1,0,0,8,0,1,0,0,0,2,0,0,0,0,1,2,29.4,221.9,235.2,24.655555555555555,3,0,0,1
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,19.75,19.75,9.875,9,0,0,1
0,0,0,0,49,1,0,0,0,0,2,2,2,2,2,1,0,74.45,3721.9,3648.05,74.438,9,3,2,0
1,0,1,1,40,1,2,2,1,1,1,1,1,1,2,0,1,25.25,1006.9,1010.0,24.558536585365854,11,2,0,0
1,0,1,0,9,0,1,0,0,0,0,0,0,0,1,0,0,24.1,259.8,216.9,25.98,1,0,0,1
0,1,1,0,72,1,2,1,2,2,2,2,2,2,2,1,0,114.65,8333.95,8254.800000000001,114.16369863013699,16,3,3,0
1,0,1,0,42,0,1,0,0,0,0,0,0,0,0,1,1,25.1,1097.15,1054.2,25.51511627906977,1,2,0,0
0,0,1,0,70,0,1,0,2,0,2,2,0,2,2,1,0,49.85,3370.2,3489.5,47.46760563380281,9,3,1,0
1,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,1,20.35,707.5,651.2,21.439393939393938,9,2,0,0
0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,1,3,20.0,196.35,220.0,16.3625,9,0,0,0
0,0,0,0,12,1,2,1,0,2,0,0,2,0,0,1,0,89.75,1052.4,1077.0,80.95384615384616,8,0,2,1
1,0,0,0,3,1,0,1,2,0,0,2,0,0,0,1,3,82.3,214.4,246.89999999999998,53.6,6,0,2,0
0,0,1,0,24,1,0,2,1,1,1,1,1,1,1,0,3,20.15,456.85,483.59999999999997,18.274,9,1,0,0
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25,237.60000000000002,15.557692307692308,9,0,0,0
0,0,0,1,14,1,2,1,2,0,0,2,0,0,0,1,3,86.0,1164.05,1204.0,77.60333333333332,8,1,2,0
1,0,0,0,59,1,2,0,0,0,2,0,0,0,2,0,1,54.15,3116.15,3194.85,51.935833333333335,5,3,1,0
